name,href,price,Subcategory,SubSubCategory,request_avg_time
Milli Axon Basin Mixer Tap Black Outlet  Chrome / Matte Black (6 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-axon-basin-mixer-tap-black-outlet-chrome-2252062,46,Basin Tapware,Basin Mixers,1.681137204170227
Milli Voir Gooseneck Basin Mixer Tap     Matte Black (4 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-voir-gooseneck-basin-mixer-tap-matte-2265387,54,Basin Tapware,Basin Mixers,1.681137204170227
Milli Voir Gooseneck Basin Mixer Tap     Brushed Nickel (4 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-voir-gooseneck-basin-mixer-tap-brushed-2265448,79,Basin Tapware,Basin Mixers,1.681137204170227
Milli Oria Basin Mixer PVD Matte Black   (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-oria-basin-mixer-pvd-matte-black-5-star-2265612,61,Basin Tapware,Basin Mixers,1.681137204170227
Milli Oria Basin Mixer PVD Brushed       Bronze (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-oria-basin-mixer-pvd-brushed-bronze-5-2265688,13,Basin Tapware,Basin Mixers,1.681137204170227
Milli Trace Basin Mixer Matte Black (5   Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-trace-basin-mixer-matte-black-5-star-2266007,79,Basin Tapware,Basin Mixers,1.681137204170227
Milli Zato Basin Mixer Brushed Nickel    (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-zato-basin-mixer-brushed-nickel-5-star-2269839,40,Basin Tapware,Basin Mixers,1.681137204170227
GROHE Essence New Basin Mixer Tap        Chrome (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/grohe-essence-new-basin-mixer-tap-chrome-5-9506745,20,Basin Tapware,Basin Mixers,1.681137204170227
GROHE Allure Basin Mixer Tap Chrome (5   Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/grohe-allure-basin-mixer-tap-chrome-5-star-9506752,78,Basin Tapware,Basin Mixers,1.681137204170227
GROHE Grandera Basin Mixer Tap Chrome    (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/grohe-grandera-basin-mixer-tap-chrome-5-star-9506820,33,Basin Tapware,Basin Mixers,1.681137204170227
Mizu Stream Basin Mixer Tap Chrome (5    Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/mizu-stream-basin-mixer-tap-chrome-5-star-9507491,53,Basin Tapware,Basin Mixers,1.681137204170227
Kado Era Basin Mixer Brass Gold (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/kado-era-basin-mixer-brass-gold-5-star-9507562,12,Basin Tapware,Basin Mixers,1.681137204170227
Kado Era Basin Mixer Porcelain Handle    Brass Gold (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/kado-era-basin-mixer-porcelain-handle-brass-9507567,36,Basin Tapware,Basin Mixers,1.681137204170227
Kado Era Basin Mixer Porcelain Handle    Chrome (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/kado-era-basin-mixer-porcelain-handle-chrome-5-9507568,75,Basin Tapware,Basin Mixers,1.681137204170227
GROHE Eurosmart New Basin Mixer Tap      120mm Lever Chrome (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/grohe-eurosmart-new-basin-mixer-tap-120mm-9507902,61,Basin Tapware,Basin Mixers,1.681137204170227
GROHE Eurosmart New Basin Mixer Tap      170mm Lever Chrome (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/grohe-eurosmart-new-basin-mixer-tap-170mm-9507903,13,Basin Tapware,Basin Mixers,1.681137204170227
Wolfen Timed Flow Basin Mixer Tap 7      Seconds (6 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/wolfen-timed-flow-basin-mixer-tap-7-seconds-9508240,11,Basin Tapware,Basin Mixers,1.681137204170227
Wolfen Timed Flow Bib Tap 95mm (Cold) 7  Seconds (6 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/wolfen-timed-flow-bib-tap-95mm-cold-7-seconds-9508245,6,Basin Tapware,Basin Mixers,1.681137204170227
American Standard Cygnet Basin Mixer     Tap Chrome (4 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/american-standard-cygnet-basin-mixer-tap-9508366,72,Basin Tapware,Basin Mixers,1.681137204170227
American Standard Cygnet Extended Basin  Mixer Tap Chrome (4 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/american-standard-cygnet-extended-basin-mixer-tap-9508368,96,Basin Tapware,Basin Mixers,1.681137204170227
GROHE Essence New Gooseneck Basin Mixer  Tap Hard Graphite (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/grohe-essence-new-gooseneck-basin-mixer-tap-hard-9508723,5,Basin Tapware,Basin Mixers,1.681137204170227
GROHE Essence New Basin Mixer Curved     Brushed Nickel (6 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/grohe-essence-new-basin-mixer-curved-brushed-9508964,46,Basin Tapware,Basin Mixers,1.681137204170227
Mizu Drift MK2 Extended Basin Mixer Tap  Matte Black (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/mizu-drift-mk2-extended-basin-mixer-tap-matte-9509127,0,Basin Tapware,Basin Mixers,1.681137204170227
